create_date;link;id;name;regular_price;promotional_price;brand
2024-10-16T23:10:10Z;https://online.metro-cc.ru/products/kofe-alta-roma-espresso-v-zernakh-1kg;365548;Кофе Alta Roma Espresso в зернах, 1кг;1469;1099;ALTA ROMA
2024-10-16T23:10:12Z;https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g;654820;Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг;1889;1399;JULIUS MEINL
2024-10-16T23:10:15Z;https://online.metro-cc.ru/products/1kg-kofe-alta-roma-rwanda-zernovoy;246069;Кофе Alta Roma Rwanda зерновой, 1кг;2949;1999;ALTA ROMA
2024-10-16T23:10:20Z;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-latte-macciato-8-portsiy-16-kapsul-192g-h-3-sht;243175;RIOBA Кофе в капсулах Dolce Gusto Latte Macciato 8 порций 16 капсул, 192г х 3 шт;;1527;RIOBA
2024-10-16T23:10:25Z;https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g;642122;Кофе Нескафе Голд растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г;2399;1799;НЕСКАФЕ
2024-10-16T23:10:27Z;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-americano-16sht-112g-h-3-sht;243165;RIOBA Кофе в капсулах Dolce Gusto Americano 16шт, 112г х 3 шт;;1527;RIOBA
2024-10-16T23:10:31Z;https://online.metro-cc.ru/products/bushido-red-1000g;36574;Кофе Bushido Red Katana в зернах, 1кг;2399;1899;BUSHIDO
2024-10-16T23:10:34Z;https://online.metro-cc.ru/products/nescafe-gold-rastvorimyj-sublimirovannyj-750g;29181;Кофе Нескафе Голд растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г x 6 шт;14394;11394;НЕСКАФЕ
2024-10-16T23:10:36Z;https://online.metro-cc.ru/products/art-619918;619918;Кофе Нескафе Голд Бариста растворимый сублимированный с добавлением натурального молотого кофе, 400г;1879;1199;НЕСКАФЕ
2024-10-16T23:10:39Z;https://online.metro-cc.ru/products/1kg-kofe-egoiste-voyage-v-zernah;228291;Кофе Egoiste Voyage в зернах, 1кг;2399;1699;EGOISTE
2024-10-16T23:10:43Z;https://online.metro-cc.ru/products/kofe-vergnano-espresso-arabika-molotyy-250g;245945;Кофе Vergnano Эспрессо арабика молотый, 250г;1499;1099;VERGNANO
